tenure,monthly_charges,total_charges,num_products,support_tickets,login_frequency,contract_type,payment_method,senior_citizen,tech_support,online_backup,churn
52,100.15,4575.53,2,1,29,One year,Mailed check,0,Yes,No,0
15,115.96,1526.66,2,2,10,Month-to-month,Mailed check,0,No,No,0
72,68.79,4464.11,2,1,17,Two year,Electronic check,0,No,Yes,0
61,30.97,1727.63,2,2,2,Two year,Bank transfer,0,No,No,0
21,74.8,1530.97,2,1,7,Month-to-month,Electronic check,0,No,Yes,0
24,65.44,1363.22,3,1,26,Two year,Mailed check,0,Yes,Yes,0
3,104.44,300.86,4,3,26,Month-to-month,Mailed check,0,No,Yes,0
22,29.81,609.73,4,1,27,Month-to-month,Bank transfer,0,Yes,Yes,0
53,68.82,3257.88,1,0,13,One year,Credit card,0,No,Yes,0
2,35.0,64.67,3,3,5,One year,Bank transfer,1,No,No,0
30,52.47,1408.81,3,1,14,Month-to-month,Mailed check,0,No,Yes,1
38,93.74,3346.3,1,1,13,Month-to-month,Bank transfer,0,No,No,1
2,67.6,123.72,1,2,6,Two year,Bank transfer,1,No,Yes,1
64,57.59,3223.79,1,1,9,One year,Electronic check,0,No,Yes,0
60,59.45,3094.33,4,2,14,One year,Electronic check,0,No,Yes,0
21,65.94,1290.58,2,2,30,Month-to-month,Electronic check,0,No,Yes,0
33,98.5,3202.92,3,0,28,Month-to-month,Mailed check,0,No,Yes,0
58,109.21,5710.86,1,1,9,Month-to-month,Credit card,0,Yes,No,1
22,115.53,2439.87,3,1,21,Month-to-month,Electronic check,0,Yes,No,0
49,98.69,4588.21,1,0,16,Month-to-month,Mailed check,0,No,Yes,0
59,51.54,3009.64,2,0,26,Month-to-month,Credit card,0,No,Yes,1
42,88.81,3629.86,2,2,18,One year,Credit card,0,No,Yes,0
60,63.76,3576.9,1,0,28,Month-to-month,Bank transfer,0,Yes,No,0
15,45.47,646.96,3,2,16,Two year,Electronic check,0,No,No,0
62,104.09,6355.21,1,0,11,Month-to-month,Electronic check,0,No,Yes,1
62,23.84,1344.95,3,0,14,Month-to-month,Electronic check,0,Yes,Yes,1
47,110.18,4655.53,2,0,25,Month-to-month,Electronic check,0,No,No,1
62,66.15,3492.76,2,0,11,Month-to-month,Electronic check,0,No,Yes,1
51,83.72,4158.63,1,1,24,Month-to-month,Bank transfer,0,No,No,0
55,85.94,4585.59,1,1,28,Two year,Electronic check,0,Yes,Yes,0
64,109.51,6067.16,4,3,8,One year,Electronic check,0,Yes,No,0
3,83.67,235.08,1,1,4,Month-to-month,Electronic check,0,Yes,No,0
51,81.39,3817.15,3,4,3,Month-to-month,Bank transfer,0,Yes,No,0
7,26.67,162.01,4,1,11,One year,Bank transfer,0,Yes,No,0
21,71.84,1504.24,1,0,15,One year,Bank transfer,0,No,Yes,0
39,35.02,1204.9,1,1,8,Month-to-month,Electronic check,0,Yes,No,0
18,93.74,1451.24,3,1,24,One year,Mailed check,0,No,Yes,0
4,71.22,267.57,4,2,30,Two year,Electronic check,0,No,No,0
60,88.02,5074.34,4,2,2,One year,Electronic check,0,Yes,No,0
14,24.17,289.27,2,1,20,Two year,Credit card,0,No,Yes,0
9,28.48,243.2,3,3,2,Two year,Credit card,1,No,Yes,0
53,91.63,4515.68,1,1,25,Two year,Bank transfer,0,No,No,0
2,27.21,47.1,4,0,17,Month-to-month,Credit card,0,Yes,No,0
60,27.13,1425.76,4,1,16,One year,Bank transfer,0,No,No,0
71,21.21,1408.32,1,2,27,One year,Electronic check,0,Yes,Yes,0
44,115.65,4551.52,1,1,9,One year,Credit card,0,No,Yes,0
8,93.75,743.06,1,1,1,Two year,Electronic check,0,Yes,Yes,0
